,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,neighborhood,postalCode,state
821,,Movie Theater,US,,United States,,552,"['Illinois', 'United States']",4ffcd4dee4b0f6e61ecf89db,"[{'label': 'display', 'lat': 41.89123939074296, 'lng': -87.61958037781909}]",41.89123939,-87.61958038,Skinny Cow Dirty Dancing,,,Illinois
688,,Park,US,Chicago,United States,,1076,"['Chicago, IL 60647', 'United States']",50041c61e4b0444ec331c755,"[{'label': 'display', 'lat': 41.913979740854614, 'lng': -87.70480526523843}]",41.91397974,-87.70480527,Julia De Burgos Park,,60647,IL
618,,Park,US,Chicago,United States,,1135,"['Chicago, IL 60614', 'United States']",5005c710e4b06cd60c14f259,"[{'label': 'display', 'lat': 41.923705699908034, 'lng': -87.66228163980864}]",41.9237057,-87.66228164,St Josaphat Park,,60614,IL
1118,,Park,US,Chicago,United States,,1032,"['Chicago, IL 60614', 'United States']",5009e5e3e4b06a8f7c29ec9b,"[{'label': 'display', 'lat': 41.91667138629951, 'lng': -87.63446433955961}]",41.91667139,-87.63446434,David Kennison Memorial,,60614,IL
21,,Park,US,Chicago,United States,,447,"['Chicago, IL 60657', 'United States']",50148490e4b07ac9f2037d38,"[{'label': 'display', 'lat': 41.946760479039874, 'lng': -87.64346080823667}]",41.94676048,-87.64346081,Stegland,,60657,IL
1904,5228 N Clark St,Park,US,Chicago,United States,at W. Farragut Ave.,1127,"['5228 N Clark St (at W. Farragut Ave.)', 'Chicago, IL 60640', 'United States']",5015df44e4b0b96018d97475,"[{'label': 'display', 'lat': 41.977084328229274, 'lng': -87.66841270787229}]",41.97708433,-87.66841271,Andersonville People Spot,,60640,IL
1475,,Movie Theater,US,Chicago,United States,,935,"['Chicago, IL 60657', 'United States']",5015ecd8e4b01be623264d45,"[{'label': 'display', 'lat': 41.9145036034839, 'lng': -87.66781513392367}]",41.9145036,-87.66781513,Movie In The Park,,60657,IL
316,,Beach,US,Chicago,United States,,755,"['Chicago, IL 60611', 'United States']",50266122e4b07a366beb5703,"[{'label': 'display', 'lat': 41.913312786461645, 'lng': -87.62330182262495}]",41.91331279,-87.62330182,The Big Dig Beach Volleyball,,60611,IL
234,,Beach,US,,United States,,990,"['Illinois', 'United States']",5026aaaee4b0aa16752b2f50,"[{'label': 'display', 'lat': 41.90676, 'lng': -87.664824}]",41.90676,-87.664824,Rebl Sundeck,,,Illinois
355,840 Weat blackhawk St,Park,US,Chicago,United States,Dayton street,634,"['840 Weat blackhawk St (Dayton street)', 'Chicago, IL 60642', 'United States']",5027e669e4b0f23b020dcc08,"[{'label': 'display', 'lat': 41.909128, 'lng': -87.650022}]",41.909128,-87.650022,Sono East Dog Run,,60642,IL
